用户名,粉丝数量,视频描述,视频id,发表时间,视频时长,点赞数量,收藏数量,评论数量,分享数量,下载数量
一路向北KAz,249241,"#巅峰极速联动预热猜想#巅峰极速#巅峰极速巅峰学院#巅峰极速飞驰人生3联动#上巅当飞驰主角
",7633360099654868406,2026-04-27,02:34,371,92,4,1,0
左邻说剧,87090,《飞驰人生3》终章燃爆了。 #飞驰人生3 #羡慕飞驰人生3里的友情,7602942739247860992,2026-02-04,01:38,358,50,14,27,0
在杭邵邵,378,"《飞驰人生3》，套路化太严重了！
个人车队、车必报废、广告一部比一部明显。
#飞驰人生3 #电影吐槽 #春节档电影 #飞驰人生 #影评",7610022593114864313,2026-02-23,00:12,281,45,666,80,0
上街兵哥说房,2155,纯客观评价，《飞驰人生3》到底值不值看呢？#上街兵哥说房#飞驰人生3 #飞驰人生 #赛车 #日常拍摄,7607858515286394274,2026-02-17,01:08,240,31,110,66,1
车厂真探,140253,飞驰人生3电影太燃了，带你们看点电影里没有的！#飞驰人生 #飞驰人生3 #奥迪 #奥迪A3,7607959857710281573,2026-02-18,00:47,229,40,9,22,1
阿伦不当牛马,6392,"飞驰人生3所有致敬和彩蛋名场面，欢迎补充，祝大家2026继续飞驰自己的人生！
#飞驰人生3 #赛车",7608823798670808250,2026-02-20,02:43,185,24,18,87,0
文凤电影,46023,执着公平竞技，林臻东不甘背锅，执意撕开资本黑幕 #真人电影解说 #正能量 #电影科普杂谈 #带你看懂电影的解说出现了 #电影解说,7632954556950924584,2026-04-26,01:53,148,27,0,0,0
酱紫淡淡,2664,《飞驰人生3》里一个女演员都没有，这选角是咋想的？#科普#涨知识#冷知识,7632839864228818853,2026-04-26,00:25,131,0,17,2,0
领航员的猫,3,"至今没人能走出北影...
糖点合集来临！cp向请自行避雷
#北京电影节 #驰强 #沈腾 #尹正 #飞驰人生3",7633076073441316106,2026-04-26,00:37,109,9,3,18,0
Cabbage🅥,1607,飞驰人生3 大疆#大疆 #大疆牛逼,7632955440749399336,2026-04-26,00:22,103,32,13,6,0
丞少（2026.2.17见过丞丞版🍊）,79,双击清晰🥺…#范丞丞#飞驰人生3,7632855423909427379,2026-04-26,00:29,71,4,1,0,0
雾笺.,612,写不动了，你们喜欢看这种吗#飞驰人生3#驰强,7633046527623213248,2026-04-26,02:37,60,4,3,2,0
海西融媒,5613,杨紫胡歌《生命树》+沈腾《飞驰人生3》取景地，海西都兰星之谷开园啦！# 海西都兰#生命树 #飞驰人生3 #杨紫 #胡歌 #沈腾# 星之谷#跟着剧集去旅行,7633349431672261928,2026-04-27,00:40,49,1,1,0,0
小劳-mint,10,#飞驰人生#飞驰人生3#捡手机文学#你快听#抽象,7632997614044801145,2026-04-26,00:54,47,8,13,8,0
波哥的选车指南针,231,飞驰人生3为什么还用奥迪A3？#飞驰人生3 #奥迪A3 #赛车 #买车那点事儿,7610811939631251450,2026-02-26,01:51,42,14,10,1,0
一路向北KAz,249241,"#巅峰极速联动预热猜想#巅峰极速#巅峰极速巅峰学院#巅峰极速飞驰人生3联动#上巅当飞驰主角
",7633359650713047211,2026-04-27,03:47,41,7,0,1,0
V观,101107,“飞驰人生3”凭什么能破40亿？ #票房 #春节档 #飞驰人生,7615218798152518946,2026-03-09,02:03,35,4,5,6,0
☁️☁️☁️,18,从开始的默默无闻到现在的另类神#巅峰极速#飞驰人生3 @抖音小助手 @抖音创作灵感@@DOU+抖音,7632998438045339365,2026-04-26,00:16,34,3,14,1,0
Ellastarrier敦敦,13,【驰强】意定监护 #驰强 #张驰 #孙宇强 #飞驰人生3 #talkmaker,7633136060806414562,2026-04-27,03:36,31,5,13,1,0
中新经纬,3806158,#博纳影业去年巨亏近15亿 ，四年连亏已近30亿！《飞驰人生3》或为2026年业绩关键变量,7633301139210964267,2026-04-27,00:12,25,1,4,3,0
黄豆陪你闯世界(开学节日更),153,为什么我跑了19分钟？！！！！！#d0u十抖音小助手 #上热门🔥 #巅峰极速 #飞驰人生,7633016947048153710,2026-04-26,01:08,18,15,1,1,0
兆军解说MC-FPS,1232,【飞驰人生3の电影插曲】夜光电流中的车#飞驰人生 #音乐 @DOU+小助手,7632965238716431731,2026-04-26,03:24,16,2,2,0,0
临庐一叶,126,一分钟带你了解《飞驰人生3》😁#飞驰人生3,7612625118175282341,2026-03-02,01:41,14,1,2,6,0
NcM,11,#飞驰人生 #飞驰人生3 #沈腾,7632963525907942682,2026-04-26,06:20,11,1,0,0,0
NcM,11,#飞驰人生 #飞驰人生3  #沈腾,7632965547252092206,2026-04-26,05:11,6,0,0,1,0
小尤剪大片,73,飞驰人生3,7633066624794304241,2026-04-26,08:35,5,0,1,0,0
NcM,11,#飞驰人生#飞驰人生3#沈腾 #飞驰人生 #飞驰人生3 #沈腾,7632958069999209779,2026-04-26,03:53,5,1,0,1,0
orx,35,谨以此片献给你所热爱的一切 #飞驰人生 #沈腾 #韩寒 #飞驰人生3,7632649392739186058,2026-04-27,02:19,4,1,1,0,0
HuaYe,11,救命！飞驰人生3到底在敷衍谁？情怀炒冷饭也不能这么离谱吧🤦‍♀️#飞驰人生 #赛车 #黄景瑜 #沈腾,7632994104087555045,2026-04-26,02:33,3,3,2,2,0
经理人杂志,392555,又一影视龙头巨亏！博纳影业4年亏近30亿，《飞驰人生3》也没拦住2025年亏掉14.64亿。#博纳影业4年亏近30亿 #博纳影业去年亏超14亿,7633365397944749363,2026-04-27,01:39,3,0,1,0,0
chr166,18,向普通人致敬—《飞驰人生3》,7632981879680278627,2026-04-26,02:19,3,0,1,0,0
一架国航A350      ✈️,268,飞驰人生3超燃混剪#飞驰人生3#巅峰极速#奥迪a3,7632990644970359929,2026-04-26,01:39,3,0,0,0,0
团团啵啵,44,#影视解说 #飞驰的人生3 #高分电影 #国产电影,7632976677643627235,2026-04-26,03:17,2,0,0,0,0
天道法则万物有道,106,飞驰人生3赛车#飞驰人生3 #奥迪飞驰人生 #沈腾飞驰人生 #北京国际汽车展#赛车,7633358724518577521,2026-04-27,01:17,2,0,0,0,0
一个人,155,二刷依旧会觉得很震撼的专场#飞驰人生3#沈腾,7633084191861436351,2026-04-26,00:15,2,0,0,0,0
鑫鑫生活市集,44,#飞驰人生3,7633239257557225974,2026-04-27,01:22,1,0,0,0,0
剧懂你🎬,7,#飞驰人生#优酷影视推广计划 #沈腾,7632981935023079931,2026-04-26,02:57,1,0,0,0,0
奥迪玩具城,1699,不管前方赛道多难，依旧飞驰人生！#重生之我在玩具店当店长 #拓意 #飞驰人生3 #奥迪A3,7633293576901812345,2026-04-27,00:12,1,0,0,0,0
小熊呀,4474,电影飞驰人生3仍旧没有，，，#飞驰人生3#冷知识#内容过于真实,7633032788808373425,2026-04-26,00:30,0,0,1,0,0
AuV科普,82,飞驰人生 三部曲没有女演员，意味着什么#飞驰人生3 #有趣的知识又增加了 #电影,7633370962074897702,2026-04-27,00:41,0,0,0,0,0
沧-,6,飞驰人生3#荒漠拉力赛,7633039499950247642,2026-04-26,00:47,0,0,0,0,0
星创剧场,91,#方程式赛车 #飞驰人生3,7633084106826129636,2026-04-26,02:23,0,0,0,0,0
